Datenpunkt 0 : av = 0.003810639,            min = 0.0,                   , max = 0.018726349,
Datenpunkt 1 : av = 0.03507274,             min = 0.0,                   , max = 0.15790462,
Datenpunkt 2 : av = 0.105841264,            min = 0.0,                   , max = 1.4596281,
Datenpunkt 3 : av = 0.07611249,             min = 0.0,                   , max = 0.58850765,
Datenpunkt 4 : av = 0.24672607,             min = 9.536743e-07,          , max = 2.7584286,
Datenpunkt 5 : av = 0.15346661,             min = 9.536743e-07,          , max = 1.749671,
Datenpunkt 6 : av = 0.004151433,            min = 9.536743e-07,          , max = 0.06121254,
Datenpunkt 7 : av = 0.078234985,            min = 0.0,                   , max = 0.87782574,
Datenpunkt 8 : av = 0.01675878,             min = 0.0,                   , max = 0.06547165,
Datenpunkt 9 : av = 0.0021402887,           min = 0.0,                   , max = 0.033678055,
Datenpunkt 10: av = 0.0007552607,           min = 0.0,                   , max = 0.008393288,
Datenpunkt 11: av = 0.25886995,             min = 0.0,                   , max = 3.126687,
Datenpunkt 12: av = 0.0036178418,           min = 0.0,                   , max = 0.041374207,
Datenpunkt 13: av = 0.005050732,            min = 0.0,                   , max = 0.036088943,
Datenpunkt 14: av = 0.0448671,              min = 0.0,                   , max = 0.31747913,
Datenpunkt 15: av = 0.2618039,              min = 0.0,                   , max = 2.898982,
Datenpunkt 16: av = 0.0044067227,           min = 0.0,                   , max = 0.037535667,
Datenpunkt 17: av = 0.00201411,             min = 0.0,                   , max = 0.030810356,
Datenpunkt 18: av = 0.26613268,             min = 0.0,                   , max = 3.1114845,
Datenpunkt 19: av = 0.11481078,             min = 0.0,                   , max = 0.8023071,
Datenpunkt 20: av = 0.0016777614,           min = 0.0,                   , max = 0.00927639,
Datenpunkt 21: av = 0.030426096,            min = 0.0,                   , max = 0.37791252,
Datenpunkt 22: av = 0.12839298,             min = 0.0,                   , max = 0.9847746,
Datenpunkt 23: av = 0.020941313,            min = 0.0,                   , max = 0.09270382,
Datenpunkt 24: av = 0.001785097,            min = 0.0,                   , max = 0.029773712,
Datenpunkt 25: av = 0.00016875751,          min = 0.0,                   , max = 0.0021152496,
Datenpunkt 26: av = 0.01204711,             min = 1.9073486e-06,         , max = 0.18172836,
Datenpunkt 27: av = 0.0025706517,           min = 0.0,                   , max = 0.0136966705,
Datenpunkt 28: av = 0.0077876756,           min = 0.0,                   , max = 0.086369514,
Datenpunkt 29: av = 0.00051523076,          min = 0.0,                   , max = 0.008798599,
Datenpunkt 30: av = 0.0014542245,           min = 0.0,                   , max = 0.02559948,
Datenpunkt 31: av = 0.0054198867,           min = 0.0,                   , max = 0.081998825,
Datenpunkt 32: av = 0.006176754,            min = 0.0,                   , max = 0.06824303,
Datenpunkt 33: av = 0.17850673,             min = 0.0,                   , max = 2.567667,
Datenpunkt 34: av = 0.16802518,             min = 0.0,                   , max = 1.2553749,
Datenpunkt 35: av = 0.17861548,             min = 0.0,                   , max = 1.2566032,
Datenpunkt 36: av = 0.0052379044,           min = 0.0,                   , max = 0.058171272,
Datenpunkt 37: av = 0.0035141676,           min = 9.536743e-07,          , max = 0.060528755,
Datenpunkt 38: av = 0.002248079,            min = 0.0,                   , max = 0.034798622,
Datenpunkt 39: av = 0.0070321835,           min = 0.0,                   , max = 0.11723137,
Datenpunkt 40: av = 0.00042472873,          min = 0.0,                   , max = 0.006873131,
Datenpunkt 41: av = 0.0015896447,           min = 0.0,                   , max = 0.02566719,
Datenpunkt 42: av = 0.009793827,            min = 9.536743e-07,          , max = 0.07944965,
Datenpunkt 43: av = 0.0032218664,           min = 0.0,                   , max = 0.02995205,
Datenpunkt 44: av = 0.09318986,             min = 0.0,                   , max = 0.9831648,
Datenpunkt 45: av = 0.0073335716,           min = 0.0,                   , max = 0.023665428,
Datenpunkt 46: av = 0.0023904978,           min = 0.0,                   , max = 0.011695862,
Datenpunkt 47: av = 0.0014808594,           min = 0.0,                   , max = 0.011184692,
Datenpunkt 48: av = 0.041749872,            min = 0.0,                   , max = 0.6782856,
Datenpunkt 49: av = 0.16438247,             min = 0.0,                   , max = 1.210886,
Datenpunkt 50: av = 0.012795505,            min = 0.0,                   , max = 0.078035355,
Datenpunkt 51: av = 0.07589875,             min = 0.0,                   , max = 0.2564211,
Datenpunkt 52: av = 0.005192754,            min = 0.0,                   , max = 0.040322304,
Datenpunkt 53: av = 0.003341648,            min = 1.9073486e-06,         , max = 0.057351112,
Datenpunkt 54: av = 0.0048269685,           min = 0.0,                   , max = 0.06330109,
Datenpunkt 55: av = 0.021172721,            min = 0.0,                   , max = 0.26430702,
Datenpunkt 56: av = 0.031133587,            min = 0.0,                   , max = 0.50321007,
Datenpunkt 57: av = 0.0023116195,           min = 0.0,                   , max = 0.028606415,
Datenpunkt 58: av = 0.11332593,             min = 9.536743e-07,          , max = 0.86048985,
Datenpunkt 59: av = 0.37778452,             min = 9.536743e-07,          , max = 4.119402,
Datenpunkt 60: av = 0.00348225,             min = 0.0,                   , max = 0.016914368,
Datenpunkt 61: av = 0.0011534619,           min = 0.0,                   , max = 0.0092458725,
Datenpunkt 62: av = 0.002576772,            min = 0.0,                   , max = 0.035679817,
Datenpunkt 63: av = 0.0025565722,           min = 9.536743e-07,          , max = 0.04409027,
Datenpunkt 64: av = 0.11000516,             min = 0.0,                   , max = 0.76734924,
Datenpunkt 65: av = 0.0007559052,           min = 0.0,                   , max = 0.009960175,
Datenpunkt 66: av = 0.00017692168,          min = 0.0,                   , max = 0.001982689,
Datenpunkt 67: av = 0.0011166576,           min = 0.0,                   , max = 0.0169096,
Datenpunkt 68: av = 0.012164747,            min = 0.0,                   , max = 0.043774605,
Datenpunkt 69: av = 0.00090714806,          min = 9.536743e-07,          , max = 0.015975952,
Datenpunkt 70: av = 0.028196985,            min = 0.0,                   , max = 0.18040848,
Datenpunkt 71: av = 0.002813112,            min = 9.536743e-07,          , max = 0.048428535,
Datenpunkt 72: av = 0.16945758,             min = 9.536743e-07,          , max = 2.4769163,
Datenpunkt 73: av = 0.07862482,             min = 0.0,                   , max = 0.4476328,
Datenpunkt 74: av = 0.06620951,             min = 0.0,                   , max = 0.467144,
Datenpunkt 75: av = 0.17946327,             min = 9.536743e-07,          , max = 2.4030676,
Datenpunkt 76: av = 0.0015896447,           min = 0.0,                   , max = 0.02566719,
Datenpunkt 77: av = 0.0029233198,           min = 0.0,                   , max = 0.015104294,
Datenpunkt 78: av = 0.0034631535,           min = 0.0,                   , max = 0.038313866,
Datenpunkt 79: av = 0.0650776,              min = 0.0,                   , max = 0.4875164,
Datenpunkt 80: av = 0.0025943385,           min = 0.0,                   , max = 0.040187836,
